tweet_id,retweet_count,favorite_count,text_letters_num,tweet_day,tweet_month,tweet_year
822244816520155136,10597,36843,95,Fri,Jan,2017
822163064745328640,5167,0,140,Thu,Jan,2017
821886076407029760,2519,11932,53,Thu,Jan,2017
821813639212650496,3602,0,139,Wed,Jan,2017
821765923262631936,1791,8862,82,Wed,Jan,2017
821522889702862852,1913,8449,117,Wed,Jan,2017
821421320206483457,6033,0,140,Tue,Jan,2017
821407182352777218,4681,12403,114,Tue,Jan,2017
821153421864615936,10,267,56,Tue,Jan,2017
821149554670182400,2174,9162,62,Tue,Jan,2017
821107785811234820,2297,10090,130,Mon,Jan,2017
821044531881721856,2470,13331,125,Mon,Jan,2017
820837357901512704,7229,0,140,Mon,Jan,2017
820749716845686786,10680,33212,108,Sun,Jan,2017
820690176645140481,3471,12846,75,Sun,Jan,2017
820494788566847489,608,0,140,Sun,Jan,2017
820446719150292993,2784,0,135,Sun,Jan,2017
820314633777061888,608,3511,138,Sat,Jan,2017
820078625395449857,6782,20874,80,Sat,Jan,2017
820013781606658049,1277,0,140,Fri,Jan,2017
819952236453363712,1277,5605,139,Fri,Jan,2017
819924195358416896,5216,13562,97,Fri,Jan,2017
819711362133872643,3376,14181,54,Fri,Jan,2017
819588359383371776,2125,10103,111,Thu,Jan,2017
819347104292290561,1301,7610,121,Thu,Jan,2017
819238181065359361,437,2412,85,Wed,Jan,2017
819227688460238848,7229,24316,103,Wed,Jan,2017
819015337530290176,39700,0,122,Wed,Jan,2017
819015331746349057,20455,0,136,Wed,Jan,2017
819006400881917954,20455,47642,97,Wed,Jan,2017
819004803107983360,39700,91365,83,Wed,Jan,2017
818646164899774465,22531,0,119,Tue,Jan,2017
818627210458333184,8059,23404,70,Tue,Jan,2017
818614493328580609,2785,10391,99,Tue,Jan,2017
818588835076603904,6637,0,107,Mon,Jan,2017
818536468981415936,2675,11509,127,Mon,Jan,2017
818307523543449600,8781,0,140,Mon,Jan,2017
818259473185828864,2471,11625,96,Mon,Jan,2017
818145370475810820,2802,12956,82,Sun,Jan,2017
817908911860748288,852,5113,98,Sun,Jan,2017
817827839487737858,29374,54620,116,Sat,Jan,2017
817777686764523521,2892,11304,140,Sat,Jan,2017
817536400337801217,3285,12434,143,Sat,Jan,2017
817502432452313088,3667,0,140,Fri,Jan,2017
817423860136083457,16139,36005,56,Fri,Jan,2017
817415592588222464,1041,5917,140,Fri,Jan,2017
817181837579653120,9176,0,96,Fri,Jan,2017
817171292965273600,2178,9220,103,Fri,Jan,2017
817120970343411712,2831,12862,54,Thu,Jan,2017
817056546584727552,1782,9055,107,Thu,Jan,2017
816829038950027264,5095,0,129,Thu,Jan,2017
816816676327063552,2190,10580,91,Thu,Jan,2017
816697700272001025,2384,10351,99,Wed,Jan,2017
816450570814898180,8781,32229,103,Wed,Jan,2017
816336735214911488,2115,9086,86,Tue,Jan,2017
816091915477250048,2334,9442,91,Tue,Jan,2017
816062466425819140,1127,0,140,Mon,Jan,2017
816014286006976512,5742,0,109,Mon,Jan,2017
815990720817401858,1127,5275,139,Mon,Jan,2017
815966073409433600,9176,23665,57,Mon,Jan,2017
815745968457060357,4470,0,140,Mon,Jan,2017
815736392542261248,2459,10403,94,Mon,Jan,2017
815639385530101762,1776,8680,100,Sun,Jan,2017
815390420867969024,4119,10943,44,Sun,Jan,2017
814986499976527872,1389,8081,93,Sat,Dec,2016
814638523311648768,2933,11906,86,Fri,Dec,2016
814578408554463233,6274,0,144,Thu,Dec,2016
814530161257443328,2009,9148,112,Thu,Dec,2016
814153002265309185,9398,30426,109,Wed,Dec,2016
813944609378369540,3457,0,116,Wed,Dec,2016
813910438903693312,2032,9832,93,Wed,Dec,2016
813812741911748608,15180,38485,139,Tue,Dec,2016
813800681631023104,1903,8825,66,Tue,Dec,2016
813217897535406080,7913,19751,68,Mon,Dec,2016
813202720496779264,1952,9723,112,Mon,Dec,2016
813187593374461952,4723,20994,107,Mon,Dec,2016
813172488309972993,2074,9868,75,Mon,Dec,2016
813157409116065792,2406,8209,112,Sun,Dec,2016
813142292504645637,2553,8934,84,Sun,Dec,2016
813130366689148928,481,4727,131,Sun,Dec,2016
813127251579564032,3389,12551,89,Sun,Dec,2016
813112105746448384,2982,10933,100,Sun,Dec,2016
813096984823349248,3896,11153,74,Sun,Dec,2016
813081950185472002,2999,10457,112,Sun,Dec,2016
813066809284972545,2101,8431,115,Sun,Dec,2016
813051746834595840,7947,22180,90,Sun,Dec,2016
812781120811126785,2073,8039,101,Sat,Dec,2016
812709060537683968,1545,7009,94,Sat,Dec,2016
812503143955202048,1323,6428,118,Sat,Dec,2016
812466873996607488,2093,8453,110,Sat,Dec,2016
812372279581671427,3977,14488,103,Fri,Dec,2016
811985624773361665,1523,7685,88,Thu,Dec,2016
811744202451197953,1737,7989,41,Thu,Dec,2016
811647686436880384,804,5918,136,Wed,Dec,2016
811627233043480576,3380,13532,103,Wed,Dec,2016
811386762094317568,6922,22143,112,Wed,Dec,2016
810984652412424192,1556,5646,143,Mon,Dec,2016
810896069567610880,1936,9592,127,Mon,Dec,2016
810657578271330305,2870,11630,100,Mon,Dec,2016
810284430598270976,12357,37469,79,Sun,Dec,2016
810254108431155201,3634,15553,118,Sat,Dec,2016
809920764300447744,4237,16405,116,Sat,Dec,2016
809808892968534016,5306,0,140,Fri,Dec,2016
809448704142938112,1590,7347,41,Thu,Dec,2016
809220051211603969,6091,21120,126,Thu,Dec,2016
809084759137812480,3806,14018,136,Wed,Dec,2016
808838249661788160,3303,10715,116,Wed,Dec,2016
808733504066486276,2350,8385,98,Tue,Dec,2016
808501579447930884,2814,11951,105,Tue,Dec,2016
808344865868283904,22531,45041,104,Mon,Dec,2016
808134635716833280,6440,0,95,Mon,Dec,2016
808106460588765185,2382,9279,120,Mon,Dec,2016
808001312164028416,3843,13321,105,Sun,Dec,2016
807621403335917568,3982,15431,137,Sat,Dec,2016
807106840509214720,60362,125767,61,Fri,Dec,2016
807059379405148160,7938,0,136,Fri,Dec,2016
807010152071229440,4157,13827,123,Thu,Dec,2016
806629075125202948,37784,79560,85,Wed,Dec,2016
806620845233815552,6001,0,140,Wed,Dec,2016
806576416489959424,2087,5150,84,Wed,Dec,2016
806542213899489280,2562,10833,99,Wed,Dec,2016
806242860592926720,12664,0,137,Tue,Dec,2016
806219024703037440,1292,6817,123,Tue,Dec,2016
805958939288408065,5842,0,130,Tue,Dec,2016
805932879469572096,2075,8765,125,Tue,Dec,2016
805826884734976000,1987,6980,54,Mon,Dec,2016
805823200554876929,8723,0,114,Mon,Dec,2016
805520635690676224,1789,6097,138,Sun,Dec,2016
805487436403003392,2750,9301,137,Sun,Dec,2016
805207613751304193,1847,8272,55,Sun,Dec,2016
804738756058218496,4172,14558,97,Fri,Dec,2016
